Calendar Week,Expert Partner,Expert Location,OIT Node 1 (Contact Drivers),OIT Node 2 (Contact Drivers),OIT Node 3 (Contact Drivers),Handled Contacts,AHT,Transfers (%),tNPS,Survey Resp. Rate (tNPS),TNPS Survey Resp. Count,Issue Resolution (tNPS),New MCR 7-Day (Look-forward),Cases,Cases (excl. Internal),# of Experts
8/18/2024,CONCENTRIX,Mexico City,Data and systems,Report management,Memorise reports,3.,43.8,33.3%,-,.0%,.,-,50.0%,4.,3.,3.
8/18/2024,CONCENTRIX,Mexico City,Data and systems,Report management,-,61.,36.0,24.6%,100.0,3.4%,1.,.0%,20.0%,66.,49.,45.
8/18/2024,CONCENTRIX,Mexico City,Data and systems,Web integration,Manage integrations,9.,10.2,66.7%,-100.0,50.0%,1.,.0%,.0%,9.,6.,10.
8/18/2024,CONCENTRIX,Mexico City,Data and systems,-,-,480.,36.0,19.4%,65.6,24.2%,61.,84.5%,18.4%,489.,363.,74.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Employee time off,Paid time off,5.,26.0,.0%,100.0,33.3%,1.,100.0%,.0%,6.,4.,5.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Employee time off,-,5.,26.0,.0%,100.0,33.3%,1.,100.0%,.0%,6.,4.,5.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Time tracking,Track worker hours,5.,11.3,80.0%,-,-,.,-,.0%,3.,1.,5.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Time tracking,-,8.,20.2,50.0%,-,.0%,.,-,.0%,7.,5.,8.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Worker benefits,Insurance and medical benefits,4.,30.1,.0%,-,.0%,.,-,.0%,5.,4.,4.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Worker benefits,Retirement benefits,5.,26.3,20.0%,-,.0%,.,-,25.0%,3.,2.,5.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Worker benefits,-,14.,27.3,7.1%,100.0,12.5%,1.,100.0%,9.1%,14.,10.,13.
8/18/2024,CONCENTRIX,Mexico City,Employee management,Workers compensation,-,1.,87.3,.0%,-,.0%,.,-,100.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Employee management,-,-,57.,16.0,19.3%,50.0,17.4%,4.,75.0%,22.5%,51.,37.,30.
8/18/2024,CONCENTRIX,Mexico City,Finance,Budget and planning,Budgets in business,.,-,-,-,-,.,-,-,.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Finance,Budget and planning,-,.,-,-,-,-,.,-,-,.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Finance,Income,Salaries and wages,9.,19.2,11.1%,-,.0%,.,-,.0%,10.,6.,9.
8/18/2024,CONCENTRIX,Mexico City,Finance,Income,-,11.,16.8,18.2%,-,.0%,.,-,.0%,11.,7.,11.
8/18/2024,CONCENTRIX,Mexico City,Finance,Liabilities,Liability schedules,1.,10.4,100.0%,-,-,.,-,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Finance,Liabilities,-,1.,10.4,100.0%,-,-,.,-,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Finance,-,-,12.,16.3,25.0%,-,.0%,.,-,.0%,12.,8.,13.
8/18/2024,CONCENTRIX,Mexico City,Marketing,-,-,32.,11.6,40.6%,100.0,14.3%,1.,-,.0%,25.,14.,27.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll additions or deductions,Unemployment taxes,3.,15.3,.0%,-,.0%,.,-,.0%,3.,3.,3.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll additions or deductions,Wage withholdings,31.,27.8,19.4%,100.0,6.3%,1.,100.0%,.0%,29.,23.,21.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll additions or deductions,-,34.,29.6,20.6%,100.0,5.9%,1.,100.0%,3.7%,32.,25.,22.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Annual employer forms,6.,34.1,33.3%,-,.0%,.,-,.0%,6.,5.,6.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Paycheque forms,41.,29.0,12.2%,33.3,18.8%,3.,66.7%,21.4%,35.,23.,22.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Quarterly employer forms,106.,26.1,17.9%,50.0,16.7%,8.,71.4%,16.7%,112.,79.,40.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,-,152.,26.5,16.4%,45.5,17.2%,11.,70.0%,18.2%,153.,105.,42.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll preferences,-,14.,28.1,28.6%,100.0,16.7%,1.,-,.0%,15.,12.,11.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Correct payroll,8.,46.0,12.5%,-50.0,40.0%,2.,50.0%,.0%,8.,7.,9.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Deliver paycheque,9.,46.4,44.4%,-,.0%,.,-,.0%,9.,5.,11.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Journal posting,.,-,-,-,-,.,-,-,.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Submit payroll,42.,32.7,14.3%,75.0,25.8%,8.,85.7%,15.4%,44.,38.,21.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,-,356.,33.7,12.9%,74.4,20.3%,43.,89.7%,13.2%,368.,297.,56.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll setup,Garnish paycheques,4.,26.4,25.0%,-,.0%,.,-,.0%,4.,4.,4.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll setup,Pay schedules,1.,13.9,100.0%,-,-,.,-,.0%,1.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Payroll setup,-,50.,30.9,20.0%,100.0,7.4%,2.,100.0%,7.7%,51.,40.,26.
8/18/2024,CONCENTRIX,Mexico City,Payroll,Prior payroll,-,7.,3.5,28.6%,-,-,.,-,.0%,6.,5.,5.
8/18/2024,CONCENTRIX,Mexico City,Payroll,-,-,640.,30.1,15.0%,68.6,20.4%,70.,88.9%,13.2%,653.,510.,66.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Custom templates,Customise forms,55.,25.9,21.8%,77.8,27.3%,9.,88.9%,14.3%,51.,39.,43.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Custom templates,-,4.,21.1,75.0%,100.0,100.0%,1.,.0%,.0%,3.,3.,6.
8/18/2024,CONCENTRIX,Mexico City,Product setup,List management,Customer list,4.,10.3,25.0%,-,-,.,-,33.3%,4.,2.,5.
8/18/2024,CONCENTRIX,Mexico City,Product setup,List management,-,4.,36.6,25.0%,100.0,100.0%,1.,100.0%,50.0%,4.,3.,4.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Download products,48.,29.3,8.3%,75.0,24.2%,8.,85.7%,2.6%,52.,43.,31.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Install products,103.,34.2,10.7%,100.0,12.9%,8.,100.0%,6.3%,101.,87.,52.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,License information,98.,13.7,22.4%,55.6,22.0%,9.,85.7%,6.9%,89.,64.,54.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Reinstall products,181.,30.5,14.4%,64.7,16.5%,17.,93.8%,12.1%,174.,139.,70.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Update products,119.,39.1,11.8%,83.3,26.4%,24.,100.0%,10.9%,123.,107.,60.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,-,416.,30.6,14.9%,72.2,22.1%,54.,93.9%,10.7%,405.,324.,75.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product preferences,Display preferences,10.,15.9,30.0%,-,.0%,.,-,10.0%,10.,6.,13.
8/18/2024,CONCENTRIX,Mexico City,Product setup,Product preferences,-,10.,15.9,30.0%,-,.0%,.,-,10.0%,10.,6.,13.
8/18/2024,CONCENTRIX,Mexico City,Product setup,-,-,484.,29.8,16.1%,73.4,22.9%,64.,93.2%,11.5%,469.,372.,75.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,Pay bills,19.,34.2,42.1%,-100.0,12.5%,1.,.0%,18.8%,20.,16.,18.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,Write cheques,5.,7.7,.0%,-,.0%,.,-,.0%,4.,2.,6.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,-,23.,29.6,34.8%,-100.0,11.1%,1.,.0%,16.7%,23.,17.,23.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Invoicing,Job estimates,7.,33.8,28.6%,-,.0%,.,-,25.0%,7.,3.,7.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Invoicing,-,10.,24.8,40.0%,-,.0%,.,-,20.0%,9.,3.,11.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Chargebacks,2.,8.6,50.0%,-,.0%,.,-,.0%,2.,2.,2.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Fund status,2.,24.0,50.0%,-,-,.,-,.0%,2.,1.,4.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Reverse payments,2.,13.7,.0%,-,.0%,.,-,50.0%,2.,1.,3.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Set up payments,17.,13.9,76.5%,-,.0%,.,-,.0%,13.,5.,17.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Trace payments,20.,19.6,10.0%,100.0,11.1%,1.,100.0%,11.8%,20.,17.,15.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,-,67.,20.8,40.3%,100.0,5.0%,1.,100.0%,10.2%,62.,44.,39.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,Customer refunds and credits,6.,60.1,.0%,-,.0%,.,-,25.0%,5.,5.,5.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,Receive payments,10.,19.5,60.0%,-,.0%,.,-,12.5%,10.,8.,9.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,-,29.,25.6,48.3%,-,.0%,.,-,10.5%,25.,19.,21.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,Card readers,1.,18.3,100.0%,-,-,.,-,-,1.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,Payment terminal,1.,18.3,100.0%,-,-,.,-,-,1.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,-,1.,18.3,100.0%,-,-,.,-,-,1.,.,1.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Sales receipts,-,7.,9.2,71.4%,-,-,.,-,.0%,6.,1.,6.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Stock management,Physical stock,1.,31.6,.0%,100.0,100.0%,1.,100.0%,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Stock management,-,8.,32.7,37.5%,100.0,33.3%,1.,100.0%,.0%,8.,5.,7.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Supplier management,Purchase orders,2.,55.9,.0%,-,.0%,.,-,50.0%,2.,2.,2.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Supplier management,Supplier credits,1.,8.7,.0%,-,-,.,-,-,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Supplier management,Supplier list,4.,23.5,50.0%,-,.0%,.,-,.0%,4.,4.,4.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,Supplier management,-,37.,26.4,32.4%,-100.0,14.3%,2.,.0%,19.2%,34.,25.,32.
8/18/2024,CONCENTRIX,Mexico City,Sales and logistics,-,-,85.,20.3,43.5%,100.0,4.3%,1.,100.0%,10.5%,78.,48.,47.
8/18/2024,CONCENTRIX,Mexico City,Security and risk,Data privacy,-,32.,5.9,25.0%,.0,40.0%,2.,100.0%,15.4%,24.,15.,23.
8/18/2024,CONCENTRIX,Mexico City,Security and risk,Data security,-,98.,10.5,29.6%,72.7,44.0%,11.,100.0%,15.8%,75.,39.,52.
8/18/2024,CONCENTRIX,Mexico City,Security and risk,Fraud,Manage risks,22.,26.4,9.1%,.0,16.7%,2.,.0%,31.3%,23.,16.,16.
8/18/2024,CONCENTRIX,Mexico City,Security and risk,Fraud,-,35.,23.0,25.7%,50.0,26.7%,4.,66.7%,25.0%,33.,23.,23.
8/18/2024,CONCENTRIX,Mexico City,Security and risk,-,-,549.,28.6,20.6%,49.1,21.2%,55.,80.4%,20.2%,509.,355.,77.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Business taxes,-,24.,11.0,54.2%,-100.0,100.0%,2.,.0%,8.3%,21.,8.,18.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Sales taxes,Set up sales taxes,3.,17.9,33.3%,-,-,.,-,.0%,2.,1.,3.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Sales taxes,-,5.,16.7,40.0%,-,.0%,.,-,.0%,4.,2.,5.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax compliance,-,10.,29.8,10.0%,100.0,25.0%,1.,-,25.0%,10.,8.,10.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax exemption,-,6.,22.2,.0%,-,-,.,-,.0%,6.,1.,8.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,Form 1099,1.,24.2,.0%,-,.0%,.,-,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,Form 1099-MISC,1.,24.2,.0%,-,.0%,.,-,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,Form W-2,3.,8.0,33.3%,100.0,100.0%,1.,100.0%,.0%,2.,1.,3.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,State tax forms,36.,25.6,22.2%,100.0,11.8%,2.,100.0%,22.2%,38.,29.,20.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,-,40.,24.2,22.5%,100.0,15.8%,3.,100.0%,20.7%,41.,31.,23.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,Federal taxes,9.,13.0,11.1%,-,.0%,.,-,16.7%,8.,2.,6.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,Local taxes,1.,16.4,.0%,-,.0%,.,-,.0%,1.,1.,1.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,State taxes,4.,9.1,.0%,-,-,.,-,.0%,4.,1.,4.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,-,14.,12.1,7.1%,-,.0%,.,-,12.5%,13.,4.,11.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax liabilities,-,19.,29.5,31.6%,100.0,20.0%,2.,100.0%,.0%,19.,17.,14.
8/18/2024,CONCENTRIX,Mexico City,Taxation,Tax notices,-,4.,12.4,.0%,-,.0%,.,-,.0%,4.,2.,4.
8/18/2024,CONCENTRIX,Mexico City,Taxation,-,-,108.,22.2,26.9%,50.0,20.5%,8.,71.4%,13.0%,106.,67.,42.
8/18/2024,CONCENTRIX,Mexico City,Uncategorized - Inbound Short calls,Uncategorized - Inbound Short calls,Uncategorized - Inbound Short calls,130.,1.5,12.3%,100.0,11.1%,1.,100.0%,-,98.,51.,44.
8/18/2024,CONCENTRIX,Mexico City,Uncategorized - Not Handled,Uncategorized - Not Handled,Uncategorized - Not Handled,.,-,-,100.0,10.0%,2.,100.0%,-,81.,32.,56.
8/18/2024,CONCENTRIX,Mexico City,Uncategorized - Others,Uncategorized - Others,Uncategorized - Others,83.,14.0,13.3%,100.0,7.7%,1.,.0%,-,70.,34.,35.
8/18/2024,CONCENTRIX,Mexico City,Uncategorized - Outbound Short calls,Uncategorized - Outbound Short calls,Uncategorized - Outbound Short calls,.,-,-,-,-,.,-,-,1.,.,49.
8/18/2024,CONCENTRIX,Mexico City,Uncategorized - Quick Chats,Uncategorized - Quick Chats,Uncategorized - Quick Chats,28.,.9,21.4%,-,.0%,.,-,-,25.,12.,19.
8/18/2024,CONCENTRIX,Mexico City,-,-,-,.,-,-,60.0,15.9%,10.,88.9%,-,110.,82.,40.
8/25/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Login and password,257.,31.4,19.8%,66.7,17.9%,24.,90.9%,18.4%,244.,185.,84.
8/25/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Manage users,34.,26.0,29.4%,100.0,6.7%,1.,100.0%,.0%,31.,27.,28.
8/25/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Multi-user mode,63.,48.6,7.9%,100.0,24.2%,8.,100.0%,20.3%,64.,50.,40.
8/25/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Primary administrator,176.,27.5,13.1%,36.4,12.5%,11.,70.0%,14.6%,177.,119.,72.
8/25/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,-,475.,30.9,17.3%,66.7,16.3%,39.,88.6%,16.5%,461.,340.,89.
8/25/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business address,7.,38.2,.0%,100.0,40.0%,2.,100.0%,.0%,7.,6.,7.
8/25/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business name,22.,32.5,18.2%,66.7,18.8%,3.,100.0%,18.8%,23.,19.,20.
8/25/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business phone number,15.,15.4,20.0%,.0,33.3%,2.,100.0%,12.5%,12.,6.,18.
8/25/2024,CONCENTRIX,Mexico City,Account management,Business profile,Merchant category,2.,7.6,.0%,-,-,.,-,.0%,2.,.,4.
8/25/2024,CONCENTRIX,Mexico City,Account management,Business profile,-,76.,24.8,19.7%,75.0,30.8%,12.,100.0%,11.3%,72.,52.,50.
8/25/2024,CONCENTRIX,Mexico City,Account management,Customer profile,Manage customers,124.,24.1,32.3%,53.8,24.5%,13.,81.8%,9.3%,121.,91.,66.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit account payment method,12.,16.5,25.0%,.0,40.0%,2.,100.0%,12.5%,9.,8.,10.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing issues,67.,15.7,28.4%,.0,6.3%,2.,50.0%,7.5%,65.,49.,43.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing updates,178.,25.0,17.4%,75.0,21.8%,24.,100.0%,8.7%,180.,148.,72.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit discounts,15.,26.2,46.7%,100.0,16.7%,1.,100.0%,9.1%,16.,11.,14.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit fees,327.,18.0,29.7%,26.9,16.1%,26.,81.0%,6.7%,303.,224.,81.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit invoices,9.,13.1,11.1%,-,.0%,.,-,12.5%,8.,5.,9.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit pricing,79.,16.5,30.4%,14.3,20.0%,7.,57.1%,7.3%,78.,59.,38.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit refunds,139.,19.6,27.3%,72.7,14.9%,11.,100.0%,5.3%,139.,108.,61.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,-,617.,19.7,25.9%,54.4,17.5%,57.,92.0%,7.0%,594.,460.,86.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit account settings,-,95.,38.6,6.3%,100.0,10.0%,6.,100.0%,10.8%,101.,84.,37.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,New subscriptions,71.,18.6,47.9%,100.0,18.2%,4.,100.0%,11.6%,59.,40.,44.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,Order supplies,3.,6.3,33.3%,-,.0%,.,-,.0%,2.,1.,3.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,-,100.,16.9,45.0%,60.0,14.7%,5.,100.0%,8.2%,82.,58.,50.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Account status,217.,20.9,24.0%,85.2,23.7%,27.,96.0%,8.7%,211.,164.,72.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Cancel products or services,217.,18.9,29.0%,53.8,21.0%,26.,90.9%,4.7%,210.,170.,76.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Migrate services,12.,23.9,50.0%,-100.0,33.3%,1.,.0%,.0%,9.,5.,10.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Renew or reactivate,318.,28.9,13.5%,85.7,20.9%,42.,97.4%,12.9%,323.,269.,72.
8/25/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,-,881.,22.9,25.7%,72.9,20.2%,96.,96.4%,9.0%,847.,663.,87.
8/25/2024,CONCENTRIX,Mexico City,Account management,Taxpayer Identification numbers,-,11.,35.1,.0%,-,.0%,.,-,11.1%,12.,5.,10.
8/25/2024,CONCENTRIX,Mexico City,Account management,-,-,"1,303.",22.8,25.2%,67.2,18.2%,122.,93.6%,8.8%,"1,243.",954.,89.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Bookkeeping processes,Journal entries,21.,20.0,9.5%,100.0,25.0%,1.,100.0%,25.0%,20.,10.,18.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Bookkeeping processes,Statement reconciliation,38.,28.5,7.9%,100.0,20.0%,3.,100.0%,22.2%,37.,27.,27.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business accounts,Chart of accounts,3.,16.4,.0%,100.0,50.0%,1.,100.0%,.0%,3.,3.,3.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business accounts,-,4.,25.8,.0%,100.0,33.3%,1.,100.0%,.0%,4.,4.,6.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Accountant reports,4.,15.7,100.0%,-,-,.,-,.0%,4.,2.,4.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Accounts payable reports,5.,32.1,.0%,-,.0%,.,-,.0%,5.,3.,5.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Audit log,3.,15.5,33.3%,-,.0%,.,-,.0%,3.,2.,3.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Customer statements,2.,79.9,.0%,-,.0%,.,-,50.0%,2.,1.,2.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Financial reports,5.,32.1,.0%,-,.0%,.,-,.0%,5.,3.,5.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Payroll reports,25.,22.0,24.0%,.0,25.0%,2.,50.0%,5.0%,26.,15.,21.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Purchase reports,1.,36.8,.0%,-,-,.,-,.0%,1.,.,1.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Stock reports,1.,6.3,.0%,-,.0%,.,-,.0%,1.,1.,1.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Transaction reports,1.,20.6,.0%,-,-,.,-,.0%,1.,1.,1.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Experts and advice,Accountant certification,1.,12.7,.0%,-,-,.,-,-,.,.,1.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Experts and advice,Accountant features,4.,14.5,50.0%,100.0,100.0%,1.,100.0%,.0%,4.,3.,4.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Experts and advice,-,5.,14.1,40.0%,100.0,100.0%,1.,100.0%,.0%,4.,3.,5.
8/25/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,-,-,57.,24.4,8.8%,100.0,30.0%,6.,100.0%,18.2%,55.,39.,41.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank accounts,Set up money movement,8.,24.6,.0%,-,.0%,.,-,20.0%,8.,7.,8.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank accounts,-,1.,12.1,.0%,.0,100.0%,1.,100.0%,.0%,1.,1.,1.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,Bank feeds,20.,31.4,30.0%,100.0,12.5%,1.,.0%,35.3%,20.,13.,16.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,Direct feeds,17.,41.6,11.8%,33.3,18.8%,3.,50.0%,20.0%,18.,16.,15.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,-,35.,36.9,22.9%,50.0,18.2%,4.,33.3%,26.7%,36.,27.,26.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank deposits,Direct deposits,55.,38.1,5.5%,-16.7,20.7%,6.,40.0%,22.0%,54.,39.,32.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank deposits,-,75.,33.7,13.3%,.0,21.2%,7.,50.0%,18.9%,73.,49.,45.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank transactions,Matching rules,2.,17.7,.0%,-,.0%,.,-,100.0%,2.,1.,2.
8/25/2024,CONCENTRIX,Mexico City,Banking,Bank transactions,-,102.,31.9,22.5%,77.8,19.6%,9.,75.0%,23.5%,105.,75.,55.
8/25/2024,CONCENTRIX,Mexico City,Banking,-,-,187.,31.5,18.2%,40.0,17.9%,15.,61.5%,22.4%,187.,132.,73.
8/25/2024,CONCENTRIX,Mexico City,Business management,Business operations,Manage projects,1.,12.1,100.0%,-,-,.,-,.0%,1.,1.,1.
8/25/2024,CONCENTRIX,Mexico City,Business management,Small business processes,-,277.,22.6,28.5%,61.9,19.8%,21.,83.3%,10.0%,256.,184.,82.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Back up data,174.,37.1,12.6%,100.0,24.5%,27.,92.3%,17.1%,186.,154.,66.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Damaged data,21.,44.8,28.6%,100.0,18.2%,2.,100.0%,26.3%,22.,18.,22.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Data utilities,17.,17.5,11.8%,-,.0%,.,-,7.7%,15.,13.,15.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Migrate data,117.,25.8,38.5%,50.0,15.4%,6.,66.7%,11.3%,107.,72.,60.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Sync data,5.,24.2,40.0%,-,.0%,.,-,.0%,5.,4.,6.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,Electronic filing,-,16.,22.8,12.5%,50.0,18.2%,2.,100.0%,15.4%,16.,14.,14.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,File management,Accountant copy,25.,23.2,32.0%,100.0,50.0%,5.,100.0%,5.6%,24.,19.,22.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,File management,Company file,25.,23.2,32.0%,100.0,50.0%,5.,100.0%,5.6%,24.,19.,22.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,File management,Convert files,15.,36.1,40.0%,.0,12.5%,1.,.0%,12.5%,14.,10.,14.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,File management,Delete file,1.,10.0,.0%,-,-,.,-,-,.,.,1.
8/25/2024,CONCENTRIX,Mexico City,Data and systems,File management,Import or export files,25.,22.5,48.0%,-,.0%,.,-,.0%,23.,13.,19.
